nume_actiune,timestamp
adaugareProdus,2024-05-24 18:50:07.1331097
adaugareProdus,2024-05-24 18:50:07.1331097
adaugareProdus,2024-05-24 18:50:07.1341067
stergereProdus,2024-05-24 18:50:07.140111
sortareProduse,2024-05-24 18:50:07.1411132
afisareProduse,2024-05-24 18:50:07.1421066
numarareProduse,2024-05-24 18:50:07.1431063
cautareProdusCategorie,2024-05-24 18:50:07.1441136
cautareProdusNume,2024-05-24 18:50:07.1441136
adaugareProdus,2024-05-24 18:53:13.181705
adaugareProdus,2024-05-24 18:53:13.1937098
adaugareProdus,2024-05-24 18:53:13.1937098
adaugareProdus,2024-05-24 18:53:13.1947084
adaugareProdus,2024-05-24 18:53:13.1947084
stergereProdus,2024-05-24 18:53:13.2007049
sortareProduse,2024-05-24 18:53:13.2027088
afisareProduse,2024-05-24 18:53:13.2027088
numarareProduse,2024-05-24 18:53:13.2037062
cautareProdusCategorie,2024-05-24 18:53:13.2037062
cautareProdusNume,2024-05-24 18:53:13.2047121
adaugareProdus,2024-05-24 18:53:33.8854831
adaugareProdus,2024-05-24 18:53:33.8994808
adaugareProdus,2024-05-24 18:53:33.8994808
adaugareProdus,2024-05-24 18:53:33.9004802
adaugareProdus,2024-05-24 18:53:33.90148
stergereProdus,2024-05-24 18:53:33.907478
sortareProduse,2024-05-24 18:53:33.9094827
afisareProduse,2024-05-24 18:53:33.9094827
numarareProduse,2024-05-24 18:53:33.9104819
cautareProdusCategorie,2024-05-24 18:53:33.9114836
cautareProdusNume,2024-05-24 18:53:33.9124791
adaugareProdus,2024-05-24 19:19:23.3628771
adaugareProdus,2024-05-24 19:19:23.3758803
adaugareProdus,2024-05-24 19:19:23.3758803
adaugareProdus,2024-05-24 19:19:23.3768782
adaugareProdus,2024-05-24 19:19:23.3768782
stergereProdus,2024-05-24 19:19:23.3828816
sortareProduse,2024-05-24 19:19:23.3848879
afisareProduse,2024-05-24 19:19:23.3858809
numarareProduse,2024-05-24 19:19:23.3868794
cautareProdusCategorie,2024-05-24 19:19:23.387879
cautareProdusNume,2024-05-24 19:19:23.387879
adaugareProdus,2024-05-24 19:23:08.0710897
adaugareProdus,2024-05-24 19:23:08.0820527
adaugareProdus,2024-05-24 19:23:08.0830499
adaugareProdus,2024-05-24 19:23:08.0850484
